,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,1.2656147480010986,0.03390836715698242,1.895927906036377,0.038895368576049805,300,0.2,0.001,rbf,"{'C': 300, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}",0.41711558594263476,0.4311271876951098,0.4241213868188723,0.0070058008762375334,3
1,1.5104588270187378,0.03939497470855713,0.6597355604171753,0.0014954805374145508,300,0.2,0.001,sigmoid,"{'C': 300, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'sigmoid'}",-1421.8333421326508,-1259.627810211,-1340.7305761718253,81.10276596082542,13
2,1.0661488771438599,0.005984663963317871,1.9119082689285278,0.020967841148376465,300,0.2,0.0001,rbf,"{'C': 300, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}",0.4035355839746918,0.4135555761569727,0.40854558006583225,0.005009996091140445,7
3,1.1145143508911133,0.015462160110473633,0.6347988843917847,0.0034867525100708008,300,0.2,0.0001,sigmoid,"{'C': 300, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.3953687869962895,0.4065448171296385,0.400956802062964,0.005588015066674501,9
4,1.4895151853561401,0.023437142372131348,2.210586428642273,0.028423666954040527,300,0.1,0.001,rbf,"{'C': 300, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.4156692653268964,0.4298776992090323,0.42277348226796435,0.007104216941067942,4
5,1.711919903755188,0.032413363456726074,0.7380256652832031,0.003988504409790039,300,0.1,0.001,sigmoid,"{'C': 300, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}",-1422.7402512131935,-1261.16978878044,-1341.9550199968166,80.7852312163767,14
6,1.1708686351776123,0.013962745666503906,2.1617164611816406,0.0004975795745849609,300,0.1,0.0001,rbf,"{'C': 300, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.40229197525135796,0.41304357386158375,0.40766777455647085,0.005375799305112894,8
7,1.2202355861663818,0.009474754333496094,0.7390230894088745,0.01196897029876709,300,0.1,0.0001,sigmoid,"{'C': 300, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.393864949732075,0.40527654931676527,0.3995707495244201,0.005705799792345145,10
8,1.5962300300598145,0.0014958381652832031,1.8704955577850342,0.010471820831298828,1000,0.2,0.001,rbf,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}",0.4203470418388795,0.4351650811629393,0.4277560615009094,0.007409019662029892,1
9,1.8570318222045898,0.012965679168701172,0.6771886348724365,0.0019948482513427734,1000,0.2,0.001,sigmoid,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'sigmoid'}",-16483.46415242669,-14339.69226537954,-15411.578208903116,1071.8859435235763,15
10,1.1484297513961792,0.004490256309509277,1.8949288129806519,0.04388439655303955,1000,0.2,0.0001,rbf,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}",0.4067827824683916,0.41714535683137843,0.411964069649885,0.00518128718149341,5
11,1.225721836090088,0.008976459503173828,0.6472673416137695,0.00797891616821289,1000,0.2,0.0001,sigmoid,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.39336286143613,0.40356322546163814,0.39846304344888406,0.005100182012754084,11
12,1.786228895187378,0.03888964653015137,2.1906330585479736,0.002487659454345703,1000,0.1,0.001,rbf,"{'C': 1000, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.41908327697006076,0.4338990853856347,0.42649118117784773,0.007407904207786975,2
13,1.8036739826202393,0.07230615615844727,0.7519888877868652,0.003989219665527344,1000,0.1,0.001,sigmoid,"{'C': 1000, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}",-16514.19119937371,-14348.140956524941,-15431.166077949325,1083.0251214243835,16
14,1.2815847396850586,0.0010139942169189453,2.1921231746673584,0.016968250274658203,1000,0.1,0.0001,rbf,"{'C': 1000, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.40614445145683997,0.41634378620467094,0.41124411883075546,0.005099667373915484,6
15,1.34688138961792,0.04938220977783203,0.7335501909255981,0.001482844352722168,1000,0.1,0.0001,sigmoid,"{'C': 1000, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.3912612557236458,0.40136935786502637,0.3963153067943361,0.005054051070690291,12
