,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_epsilon,param_gamma,param_kernel,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,1.796996831893921,0.03499031066894531,2.4030537605285645,0.0311276912689209,300,0.2,0.001,rbf,"{'C': 300, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}",0.42036599724987245,0.42778074748341743,0.42407337236664494,0.0037073751167724933,3
1,1.9732023477554321,0.13571250438690186,0.8628290891647339,0.0031195878982543945,300,0.2,0.001,sigmoid,"{'C': 300, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'sigmoid'}",-2066.7444660718866,-2842.1703763175765,-2454.4574211947315,387.71295512284496,13
2,1.390763282775879,0.0027413368225097656,2.4212636947631836,0.014707803726196289,300,0.2,0.0001,rbf,"{'C': 300, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}",0.40278935105210667,0.4132616318193495,0.4080254914357281,0.005236140383621413,7
3,1.5557981729507446,0.06384360790252686,0.8907186985015869,0.011960029602050781,300,0.2,0.0001,sigmoid,"{'C': 300, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.39656535476835986,0.40557073275482847,0.40106804376159416,0.004502688993234305,9
4,2.019482970237732,0.08594691753387451,2.8181636333465576,0.07389140129089355,300,0.1,0.001,rbf,"{'C': 300, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.41983940455027124,0.42720155115810643,0.42352047785418884,0.0036810733039175925,4
5,2.0130209922790527,0.005959033966064453,0.9752416610717773,0.0012764930725097656,300,0.1,0.001,sigmoid,"{'C': 300, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}",-2067.2465451229864,-2844.486333377608,-2455.866439250297,388.6198941273108,14
6,1.541349172592163,0.01456594467163086,2.800848603248596,0.031031012535095215,300,0.1,0.0001,rbf,"{'C': 300, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.4023934264516249,0.4122979336197846,0.40734568003570476,0.004952253584079858,8
7,1.6306086778640747,0.0025991201400756836,0.942979097366333,0.0010232925415039062,300,0.1,0.0001,sigmoid,"{'C': 300, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.39546746917169784,0.4046607305453367,0.40006409985851726,0.004596630686819425,10
8,2.247811198234558,0.03882324695587158,2.397774577140808,0.01619088649749756,1000,0.2,0.001,rbf,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'rbf'}",0.4235257350538857,0.4315664034777037,0.4275460692657947,0.004020334211909005,1
9,2.254973530769348,0.17378556728363037,0.8885684013366699,0.009481668472290039,1000,0.2,0.001,sigmoid,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.001, 'kernel': 'sigmoid'}",-23494.668257064557,-32247.983700865687,-27871.32597896512,4376.657721900565,15
10,1.5196568965911865,0.035503387451171875,2.407310724258423,0.013661623001098633,1000,0.2,0.0001,rbf,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'rbf'}",0.4072810771198119,0.41716384483644886,0.41222246097813037,0.004941383858318493,5
11,1.608053207397461,0.0041391849517822266,0.8370314836502075,0.0029221773147583008,1000,0.2,0.0001,sigmoid,"{'C': 1000, 'epsilon': 0.2, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.391335168366152,0.3977697993618883,0.39455248386402014,0.003217315497868134,11
12,2.500637173652649,0.07859599590301514,2.7672009468078613,0.014441251754760742,1000,0.1,0.001,rbf,"{'C': 1000, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'rbf'}",0.423031821284233,0.43072434454467146,0.42687808291445223,0.0038462616302192276,2
13,2.383255124092102,0.08491051197052002,0.9847956895828247,0.01615893840789795,1000,0.1,0.001,sigmoid,"{'C': 1000, 'epsilon': 0.1, 'gamma': 0.001, 'kernel': 'sigmoid'}",-23503.86404718036,-32289.591275246585,-27896.727661213474,4392.863614033113,16
14,1.7369996309280396,0.023098349571228027,2.7794359922409058,0.011550545692443848,1000,0.1,0.0001,rbf,"{'C': 1000, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'rbf'}",0.406568740646292,0.4161871503489717,0.41137794549763185,0.004809204851339843,6
15,1.7964869737625122,0.01648557186126709,0.9505214691162109,0.002517223358154297,1000,0.1,0.0001,sigmoid,"{'C': 1000, 'epsilon': 0.1, 'gamma': 0.0001, 'kernel': 'sigmoid'}",0.389571004316252,0.3951769988768623,0.39237400159655716,0.0028029972803051417,12
