,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0,0.0014958381652832031,0.0004987716674804688,0.0009975433349609375,0.0,gini,3,7,6,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 7, 'min_samples_split': 6}",0.7352941176470589,0.7821782178217822,0.7587361677344205,0.023442050087361666,31
1,0.001495957374572754,0.000498652458190918,0.000997304916381836,0.0,gini,3,7,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 7, 'min_samples_split': 10}",0.7058823529411765,0.7821782178217822,0.7440302853814793,0.038147932440302845,45
2,0.001495957374572754,0.000498652458190918,0.0004987716674804688,0.0004987716674804688,gini,3,7,14,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 7, 'min_samples_split': 14}",0.7058823529411765,0.7821782178217822,0.7440302853814793,0.038147932440302845,45
3,0.001495957374572754,0.000498652458190918,0.0004985332489013672,0.0004985332489013672,gini,3,7,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 7, 'min_samples_split': 15}",0.7058823529411765,0.7821782178217822,0.7440302853814793,0.038147932440302845,45
4,0.0009976625442504883,1.1920928955078125e-07,0.000997304916381836,0.0,gini,3,7,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 7, 'min_samples_split': 20}",0.6764705882352942,0.7920792079207921,0.7342748980780431,0.05780430984274898,115
5,0.0014960765838623047,0.0004987716674804688,0.0009971857070922852,1.1920928955078125e-07,gini,3,11,6,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 11, 'min_samples_split': 6}",0.6764705882352942,0.7920792079207921,0.7342748980780431,0.05780430984274898,115
6,0.0009974241256713867,1.1920928955078125e-07,0.0009971857070922852,1.1920928955078125e-07,gini,3,11,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 11, 'min_samples_split': 10}",0.6764705882352942,0.7920792079207921,0.7342748980780431,0.05780430984274898,115
7,0.0009974241256713867,1.1920928955078125e-07,0.0009971857070922852,1.1920928955078125e-07,gini,3,11,14,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 11, 'min_samples_split': 14}",0.6764705882352942,0.7920792079207921,0.7342748980780431,0.05780430984274898,115
8,0.001495957374572754,0.000498652458190918,0.0009974241256713867,1.1920928955078125e-07,gini,3,11,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 11, 'min_samples_split': 15}",0.6764705882352942,0.7920792079207921,0.7342748980780431,0.05780430984274898,115
9,0.000997304916381836,0.0,0.0009974241256713867,1.1920928955078125e-07,gini,3,11,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 11, 'min_samples_split': 20}",0.6764705882352942,0.7920792079207921,0.7342748980780431,0.05780430984274898,115
10,0.0014958381652832031,0.0004987716674804688,0.0004987716674804688,0.0004987716674804688,gini,3,15,6,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 6}",0.7450980392156863,0.7326732673267327,0.7388856532712095,0.006212385944476817,55
11,0.0009971857070922852,1.1920928955078125e-07,0.0009974241256713867,1.1920928955078125e-07,gini,3,15,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 10}",0.7450980392156863,0.7326732673267327,0.7388856532712095,0.006212385944476817,55
12,0.000997304916381836,2.384185791015625e-07,0.0009974241256713867,1.1920928955078125e-07,gini,3,15,14,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 14}",0.7450980392156863,0.7326732673267327,0.7388856532712095,0.006212385944476817,55
13,0.0014958381652832031,0.0004985332489013672,0.000498652458190918,0.000498652458190918,gini,3,15,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 15}",0.7450980392156863,0.7326732673267327,0.7388856532712095,0.006212385944476817,55
14,0.0009971857070922852,1.1920928955078125e-07,0.0009975433349609375,0.0,gini,3,15,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 20}",0.7450980392156863,0.7326732673267327,0.7388856532712095,0.006212385944476817,55
15,0.0009974241256713867,1.1920928955078125e-07,0.0009971857070922852,1.1920928955078125e-07,gini,3,20,6,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 6}",0.7450980392156863,0.6831683168316832,0.7141331780236848,0.030964861192001536,181
16,0.0014958381652832031,0.0004985332489013672,0.0004987716674804688,0.0004987716674804688,gini,3,20,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 10}",0.7450980392156863,0.6831683168316832,0.7141331780236848,0.030964861192001536,181
17,0.0014960765838623047,0.0004985332489013672,0.000498652458190918,0.000498652458190918,gini,3,20,14,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 14}",0.7450980392156863,0.6831683168316832,0.7141331780236848,0.030964861192001536,181
18,0.0009974241256713867,1.1920928955078125e-07,0.000997304916381836,0.0,gini,3,20,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 15}",0.7450980392156863,0.6831683168316832,0.7141331780236848,0.030964861192001536,181
